Date,Open,High,Low,Close,Volume
2016-05-26,11.755,11.851,11.602,11.851,1955564
2016-05-27,11.851,11.87,11.506,11.774,1910927
2016-05-30,11.889,11.889,11.602,11.602,1624495
2016-05-31,11.602,11.755,11.583,11.64,3670158
2016-06-01,11.755,11.755,11.64,11.717,1674733
2016-06-02,11.851,11.909,11.717,11.736,2304459
2016-06-03,11.774,11.909,11.717,11.755,3263044
2016-06-06,11.851,11.851,11.621,11.64,2219314
2016-06-07,11.66,11.832,11.66,11.794,3172544
2016-06-08,11.851,11.87,11.736,11.755,3007515
2016-06-10,11.794,11.87,11.545,11.564,3201777
2016-06-13,11.526,11.64,11.392,11.392,2808694
2016-06-14,11.487,11.602,11.43,11.468,2182608
2016-06-15,11.43,11.487,11.353,11.372,2244338
2016-06-16,11.353,11.353,10.97,11.009,5409057
2016-06-17,11.181,11.411,11.104,11.2,3290954
2016-06-20,11.296,11.334,11.124,11.277,2719316
2016-06-21,11.277,11.411,11.277,11.392,3244025
2016-06-22,11.372,11.487,11.315,11.43,3245621
2016-06-23,11.487,11.545,11.392,11.506,3078364
2016-06-24,11.468,11.66,10.913,11.085,6704500
2016-06-27,11.047,11.047,10.492,10.626,13361791
2016-06-28,10.511,10.53,10.243,10.358,9615648
2016-06-29,10.473,10.683,10.396,10.626,6424741
2016-06-30,10.721,10.875,10.645,10.836,7642911
2016-07-04,10.779,11.009,10.741,10.97,4484568
2016-07-05,10.856,11.028,10.836,10.856,3842382
2016-07-06,10.836,10.97,10.741,10.894,5033000
2016-07-07,10.932,10.932,10.76,10.798,4611676
2016-07-08,10.856,10.875,10.721,10.779,2825085
2016-07-11,11.009,11.009,10.894,11.009,104486210
2016-07-12,11.066,11.372,10.932,11.258,5263037
2016-07-13,11.277,11.564,11.277,11.487,4884911
2016-07-14,11.564,11.717,11.296,11.679,4484861
2016-07-15,11.774,11.813,11.66,11.794,5320930
2016-07-18,11.813,12.062,11.813,12.023,5829869
2016-07-19,11.966,11.985,11.526,11.679,10887760
2016-07-20,11.602,11.851,11.602,11.774,3092918
2016-07-21,11.717,11.909,11.621,11.832,5758638
2016-07-22,11.813,11.813,11.526,11.698,4847790
2016-07-25,11.774,11.832,11.66,11.755,2891990
2016-07-26,11.813,11.985,11.794,11.889,5031167
2016-07-27,11.966,12.062,11.889,11.889,5009479
2016-07-28,11.889,12.004,11.851,11.928,3042046
2016-07-29,12.043,12.062,11.87,12.062,4574000
2016-08-01,12.081,12.215,12.023,12.157,3647111
2016-08-02,12.157,12.157,12.157,12.157,0
2016-08-03,11.87,12.062,11.736,11.736,4701309
2016-08-04,11.813,11.832,11.736,11.832,4103000
2016-08-05,11.928,12.081,11.775,12.043,7646487
2016-08-08,12.062,12.406,12.062,12.387,5483319
2016-08-09,12.349,12.521,12.138,12.253,7302990
2016-08-10,12.177,12.253,12.043,12.1,6146011
2016-08-11,12.1,12.253,12.004,12.004,5534354
2016-08-12,12.157,12.196,11.985,12.157,5364023
2016-08-15,12.081,12.291,12.081,12.253,3860372
2016-08-16,12.215,12.349,12.157,12.311,4112934
2016-08-17,12.272,12.311,11.353,11.411,19754107
2016-08-18,11.296,11.315,10.836,10.856,20602633
2016-08-19,10.836,10.856,10.549,10.645,15678001
2016-08-22,10.721,10.76,10.549,10.645,11917852
2016-08-23,10.626,10.798,10.587,10.779,10617256
2016-08-24,10.817,10.875,10.587,10.664,6029432
2016-08-25,10.702,10.875,10.645,10.836,13660985
2016-08-26,10.836,10.836,10.683,10.741,7527000
2016-08-29,10.798,10.798,10.645,10.683,2775000
